FruitID	DAA	Diameter	FW	DW	DMC	FMseed	DWseed	Brix	Osmotic	rou	surfaceperberry	transperberry	transpersurface	SampleID	Replicate	HarvestDate	Hour	AnthesisDate	SFW	SDW	SDMC	Stage	Glucose	Fructose	Sucrose	Citrate	Malate	Total_AA	Proteins	Starch	Proline	Glc	Fru	Suc	Cit	Mal	Sta	Pro	SSMS	Osmotic_SUGAR	Osmotic_other	fuc	rha	ara	gal	glc	xyl	man	gal_a	glc_a	cellulose
9011	4	2.511	0.0114	0.0032	0.280701754	NA	NA	NA	NA	NA	NA	NA	NA	9011	1	09/05/2016	9h30	05/05/2016	0.997	0.1184	11.87562688	S01	3.38944638	5.455525526	5.201166974	1.423469726	9.056460995	12.73442392	6.349926197	1.017191245	0.414537661	0.513741594	0.826899165	1.499170926	0.230260295	1.022658788	0.154176639	0.040187959	2.839811685	15.93899438	NA	1.69	7.01	11.42	38.19	8.72	8.31	4.85	13.33	1.42	49.04168925
9012	4	2.695	0.0123	0.0038	0.308943089	NA	NA	NA	NA	NA	NA	NA	NA	9012	2	09/05/2016	9h30	05/05/2016	1.016	0.1114	10.96456693	S01	2.751008488	2.949897934	1.24504403	0.777801353	8.605914523	19.39511032	6.623456106	0.747672294	0.337421792	0.451619778	0.484270497	0.388687099	0.136271356	1.052529612	0.12274175	0.035429918	1.324577374	7.801332809	NA	2.12	8.82	14.28	45.45	9.75	10.2	6.17	15.63	2.55	49.08877131
9013	4	3.153	0.0219	0.0052	0.237442922	NA	NA	NA	NA	NA	NA	NA	NA	9013	3	09/05/2016	9h30	05/05/2016	1.058	0.1086	10.26465028	S01	3.041676559	0.888108807	5.154730466	1.770652047	7.147613619	15.14238688	9.359926271	0.926029201	0.918919974	0.533385713	0.155737975	1.718971607	0.331372476	0.933782409	0.162387662	0.10306757	2.408095295	10.12367574	NA	1.6	6.67	10.84	34.74	7.86	7.53	5.16	11.58	2.29	33.04045189
9014	4	2.874	0.0182	0.0044	0.241758242	NA	NA	NA	NA	NA	NA	NA	NA	9014	4	09/05/2016	9h30	05/05/2016	1.584	0.1654	10.44191919	S01	2.568478806	4.370448626	1.970103974	1.027918208	8.308455004	18.20407546	9.36648932	0.857220266	0.331261798	0.442759781	0.75338713	0.645826287	0.189106125	1.067010571	0.147769433	0.036524101	1.841973198	9.947769454	NA	1.8	6.99	11.47	40.34	8.6	7.85	5.51	11.16	2.33	NA
9015	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9015	5	09/05/2016	9h30	05/05/2016	1.053	0.1165	11.06362773	S01	NA	1.597338555	5.685898286	1.639438135	8.532980544	14.99194693	7.028355543	0.983159189	0.50031735	NA	0.259879442	1.759172516	0.28465895	1.034265359	0.159955359	0.052063878	NA	NA	NA	2.18	8.19	13.34	45.3	11.58	9.77	6.31	14.92	2.22	NA
9021	8	4.4162	0.0552	0.0054	0.097826087	NA	NA	NA	NA	228.911053	0.615926462	1.451262304	2.356226584	9021	1	13/05/2016	9h30	05/05/2016	2.501	0.2136	8.540583766	S02	5.208661972	5.902176739	3.24403139	0.334384774	16.61781903	9.490811939	5.50433301	0.988859317	0.180202798	1.097769404	1.243933485	1.300182722	0.075211855	2.609247322	0.208410434	0.024291956	3.641885611	15.69534411	NA	1.71	6.7	11.89	45.88	9.64	8.72	5.69	15.68	1.01	51.2381261
9022	8	4.448	0.0606	0.0068	0.112211221	NA	NA	NA	NA	258.7635425	0.630128088	1.678348773	2.663504142	9022	2	13/05/2016	9h30	05/05/2016	2.365	0.2098	8.871035941	S02	2.596652112	2.982909375	1.486637725	0.743622839	11.02000756	14.25492799	5.620313774	0.83609922	0.229179253	0.526880269	0.605254776	0.573637731	0.161029612	1.665851681	0.169650828	0.029743321	1.705772777	7.754065115	NA	2.21	7.84	13.4	51.93	11.03	10.12	7.09	17.8	1.64	55.25274955
9023	8	4.082	0.0472	0.0058	0.122881356	NA	NA	NA	NA	310.4841223	0.530634477	1.695841069	3.195874264	9023	3	13/05/2016	9h30	05/05/2016	2.44	0.2348	9.62295082	S02	2.027652287	3.828438966	8.366722286	0.559898965	15.43818576	7.927252581	5.478581744	2.051202862	0.400929669	0.37927806	0.71612027	2.976144316	0.111770904	2.151378251	0.383683261	0.047967649	4.071542646	15.73719619	NA	1.48	6.4	11.16	44.54	14.18	8.43	5.81	14.6	0.91	29.82097362
9024	8	3.984	0.0406	0.005	0.123152709	NA	NA	NA	NA	328.4947593	0.498903763	1.686923986	3.381261301	9024	4	13/05/2016	9h30	05/05/2016	2.344	0.212	9.044368601	S02	6.731004193	4.125563693	4.63880763	0.633355898	12.08382372	10.41284301	7.089097019	0.891035583	0.221428013	1.339596834	0.821065016	1.755638145	0.13452312	1.791657143	0.177332893	0.028186608	3.916299996	17.03619147	NA	1.77	6.5	11.24	43.51	9.5	8.49	6.22	14.1	1.41	NA
9025	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9025	5	13/05/2016	9h30	05/05/2016	2.364	0.2064	8.730964467	S02	3.400129532	NA	6.228728305	0.262969858	15.12577316	12.85607992	4.840049402	0.710749322	0.226828696	0.700980193	NA	2.441991039	0.057859026	2.323186847	0.146530064	0.029910542	NA	NA	NA	1.82	6.44	11.2	44.87	8.77	8.54	6.28	13.98	2.04	NA
9031	14	4.668	0.0716	0.0082	0.11452514	NA	NA	NA	NA	255.9270869	0.685929057	1.806948365	2.634307946	9031	1	19/05/2016	9h30	05/05/2016	2.532	0.2171	8.574249605	S03	12.62757994	1.292812412	NA	0.470234432	26.11242929	4.082191019	3.73162742	0.913452554	0.16137564	2.650919315	0.271401283	NA	0.1053527	4.083945452	0.191761924	0.021668575	NA	NA	NA	1.45	6.23	11.05	43.5	11.67	10.05	6.98	12.57	1.29	49.4489253
9032	14	5.716	0.1228	0.012	0.09771987	NA	NA	NA	NA	199.3415392	1.031932762	2.117383364	2.051861751	9032	2	19/05/2016	9h30	05/05/2016	2.589	0.2126	8.211664735	S03	10.95273017	1.224092985	5.659297592	1.079579767	13.24922518	6.583268168	5.121926716	0.581137534	0.129332151	2.400842575	0.268321643	2.359055841	0.252552046	2.163655183	0.127385566	0.018132755	5.028220059	19.43179457	NA	1.96	6.98	11.67	46.26	10.86	10.03	7.38	13.17	1.39	57.76431175
9033	14	4.7462	0.0692	0.0078	0.112716763	NA	NA	NA	NA	266.4152697	0.71032818	1.947908019	2.742264879	9033	3	19/05/2016	9h30	05/05/2016	2.668	0.2361	8.849325337	S03	6.964845148	7.262393511	4.166355389	0.813104101	23.2865879	8.669508053	5.494415292	1.259592812	0.340924212	1.416686673	1.477209598	1.611584381	0.176507578	3.528779109	0.2562079	0.044354347	4.505480651	20.17932848	NA	1.53	6.55	11.13	47.93	12.53	9.3	7.11	11.65	1.35	51.08877722
9034	14	5.264	0.098	0.0084	0.085714286	NA	NA	NA	NA	208.9100851	0.882749837	1.898223477	2.15035268	9034	4	19/05/2016	9h30	05/05/2016	2.509	0.2116	8.4336389	S03	10.70816294	4.591211704	NA	0.452198158	27.4444154	6.468347167	4.314055922	0.453712221	0.244483722	2.285453945	0.979906914	NA	0.103000931	4.363829361	0.096836254	0.033375167	NA	NA	NA	2.22	7.47	12.81	49	11.34	11.84	8.7	15.4	2.73	NA
9035	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9035	5	19/05/2016	9h30	05/05/2016	2.621	0.1913	7.298740939	S03	6.246694448	1.661269051	1.59327848	1.080757897	25.10823702	11.97379992	5.081460442	0.313057962	0.43529507	1.540546527	0.409698648	0.747223704	0.284451241	4.613144394	0.07720569	0.068663242	2.697468879	10.24931277	NA	2.46	7.17	12.46	43.69	8.93	10.99	8.01	15.19	1.8	NA
