"Tps"	"Temp"	"RH"	"Cp"	"PTLx"
96	19.665	61.7575	75	-1.5
97	19.1175	64.58	75	-1.5
98	18.945	66.0775	75	-1.5
99	18.7025	68.45	75	-1.5
100	18.655	71.01	75	-1.5
101	18.36	74.64	75	-1.5
102	18.015	77.62375	116.582338163552	-2.74747014490656
103	18.6575	77.23	156.34732861516	-3.9404198584548
104	20.03	74.95875	192.557050458495	-5.02671151375484
105	21.27	70.15	223.628965095479	-5.95886895286437
106	22.0325	63.78625	248.205080756888	-6.69615242270663
107	23.8575	57.2575	265.211303259031	-7.20633909777092
108	24.4025	58.5275	273.904379073655	-7.46713137220964
109	25.895	59.93375	273.904379073655	-7.46713137220964
110	25.79	54.95625	265.211303259031	-7.20633909777092
111	25.075	59.435	248.205080756888	-6.69615242270663
112	23.4725	58.03	223.628965095479	-5.95886895286437
113	23.34	60.60875	192.557050458495	-5.02671151375484
114	24.0925	60.42	156.34732861516	-3.9404198584548
115	23.9375	59.085	116.582338163552	-2.74747014490656
116	22.96	61.33875	75.0000000000001	-1.5
117	21.6525	64.55625	75	-1.5
118	21.665	64.87125	75	-1.5
119	21.0775	67.98	75	-1.5
120	19.485	74.02625	75	-1.5
121	18.6475	77.1175	75	-1.5
122	18.0925	78.1375	75	-1.5
123	17.64	78.2375	75	-1.5
124	17.25	77.35625	75	-1.5
125	16.8375	77.53875	75	-1.5
126	16.625	78.63125	116.582338163552	-2.74747014490656
127	17.4625	77.89375	156.34732861516	-3.9404198584548
128	21.5475	67.63	192.557050458495	-5.02671151375484
129	25.4025	46.81125	223.628965095479	-5.95886895286437
130	29.4575	39.22875	248.205080756888	-6.69615242270663
131	32.46	28.7575	265.211303259031	-7.20633909777092
132	33.7425	25.87875	273.904379073655	-7.46713137220964
133	32.5125	27.00875	273.904379073655	-7.46713137220964
134	34.44	23.72625	265.211303259031	-7.20633909777092
135	33.7125	24.71375	248.205080756888	-6.69615242270663
136	35.41	23.55875	223.628965095479	-5.95886895286437
137	33.9475	23.83125	192.557050458495	-5.02671151375484
138	29.2075	30.30375	156.34732861516	-3.9404198584548
139	26.9675	38.6375	116.582338163552	-2.74747014490656
140	24.5475	41.8525	75.0000000000001	-1.5
141	22.9275	48.04125	75	-1.5
142	23.125	51.17125	75	-1.5
143	22.2925	54.58	75	-1.5
144	21.005	60.47375	75	-1.5
145	20.27	63.2725	75	-1.5
146	19.945	64.9725	75	-1.5
147	19.6875	66.6	75	-1.5
148	19.0875	68.92625	75	-1.5
149	18.6525	71.58125	75	-1.5
150	18.3325	74.7075	116.582338163552	-2.74747014490656
151	18.9075	75.0025	156.34732861516	-3.9404198584548
152	20.2025	72.87125	192.557050458495	-5.02671151375484
153	21.9225	68.85625	223.628965095479	-5.95886895286437
154	25.0775	50.7675	248.205080756888	-6.69615242270663
155	28.2825	38.66	265.211303259031	-7.20633909777092
156	28.9175	35.04375	273.904379073655	-7.46713137220964
157	29.4575	31.4925	273.904379073655	-7.46713137220964
158	29.7625	30.335	265.211303259031	-7.20633909777092
159	28.5225	33.36125	248.205080756888	-6.69615242270663
160	27.91	33.42625	223.628965095479	-5.95886895286437
161	26.185	37.2075	192.557050458495	-5.02671151375484
162	27.0325	33.73875	156.34732861516	-3.9404198584548
163	24.435	38.29625	116.582338163552	-2.74747014490656
164	22.8425	40.58	75.0000000000001	-1.5
165	22.1725	45.76125	75	-1.5
166	21.3775	51.84375	75	-1.5
167	19.84	58.53625	75	-1.5
168	17.8375	62.96375	75	-1.5
169	16.62	65.1	75	-1.5
170	16.0225	65.44125	75	-1.5
171	15.3275	65.10125	75	-1.5
172	14.7625	66.32	75	-1.5
173	14.2825	66.86625	75	-1.5
174	13.81	67.2075	116.582338163552	-2.74747014490656
175	14.7675	67.57875	156.34732861516	-3.9404198584548
176	17.835	69.63625	192.557050458495	-5.02671151375484
177	22.3275	59.465	223.628965095479	-5.95886895286437
178	26.655	39.35625	248.205080756888	-6.69615242270663
179	27.86	34.4425	265.211303259031	-7.20633909777092
180	27.23	35.6875	273.904379073655	-7.46713137220964
181	27.415	35.19625	273.904379073655	-7.46713137220964
182	26.1075	38.6375	265.211303259031	-7.20633909777092
183	27.36	36.4575	248.205080756888	-6.69615242270663
184	26.835	38.27375	223.628965095479	-5.95886895286437
185	26.645	38.9925	192.557050458495	-5.02671151375484
186	25.4025	40.15375	156.34732861516	-3.9404198584548
187	24.315	42.99625	116.582338163552	-2.74747014490656
188	22.625	49.05	75.0000000000001	-1.5
189	20.9025	56.595	75	-1.5
190	19.5775	63.1075	75	-1.5
191	18.345	67.94375	75	-1.5
192	17.92	72.345	75	-1.5
193	17.86	74.61375	75	-1.5
194	17.58	74.095	75	-1.5
195	17.195	73.97	75	-1.5
196	16.9525	76.43875	75	-1.5
197	16.9275	77.07875	75	-1.5
198	16.67	75.47625	116.582338163552	-2.74747014490656
199	16.4425	74.00125	156.34732861516	-3.9404198584548
200	21.525	63.5925	192.557050458495	-5.02671151375484
201	24.3925	48.84875	223.628965095479	-5.95886895286437
202	23.06	50.475	248.205080756888	-6.69615242270663
203	23.0425	50.79875	265.211303259031	-7.20633909777092
204	24.2725	45.85	273.904379073655	-7.46713137220964
205	24.555	43.1875	273.904379073655	-7.46713137220964
206	24	45.2075	265.211303259031	-7.20633909777092
207	24.2675	46.17	248.205080756888	-6.69615242270663
208	24.755	43.10875	223.628965095479	-5.95886895286437
209	23.565	46.05125	192.557050458495	-5.02671151375484
210	23.4025	46.20125	156.34732861516	-3.9404198584548
211	22.9525	47.2225	116.582338163552	-2.74747014490656
212	22.035	51.45625	75.0000000000001	-1.5
213	20.3125	59.175	75	-1.5
214	19.215	66.76625	75	-1.5
215	18.4875	71.72125	75	-1.5
216	18.2775	73.8875	75	-1.5
217	18.04	75.7775	75	-1.5
218	17.9275	77.09625	75	-1.5
219	17.87	77.5875	75	-1.5
220	17.74	78.26375	75	-1.5
221	17.58	79.03625	75	-1.5
222	17.425	79.61125	116.582338163552	-2.74747014490656
223	17.405	79.80625	156.34732861516	-3.9404198584548
224	17.54	80.20125	192.557050458495	-5.02671151375484
225	17.77	81.15	223.628965095479	-5.95886895286437
226	18.2275	82.3	248.205080756888	-6.69615242270663
227	19.685	81.10375	265.211303259031	-7.20633909777092
228	24.16	57.9	273.904379073655	-7.46713137220964
229	24.43	52.675	273.904379073655	-7.46713137220964
230	24.6725	51.28125	265.211303259031	-7.20633909777092
231	26.995	45.9225	248.205080756888	-6.69615242270663
232	27.6725	43.275	223.628965095479	-5.95886895286437
233	27.04	43.54625	192.557050458495	-5.02671151375484
234	25.725	46.45	156.34732861516	-3.9404198584548
235	23.66	50.73375	116.582338163552	-2.74747014490656
236	21.7625	58.12	75.0000000000001	-1.5
237	20.425	63.41	75	-1.5
238	19.72	68.475	75	-1.5
239	19.345	72.60125	75	-1.5
240	19.01	75.355	75	-1.5
241	18.7725	76.37	75	-1.5
242	18.1175	74.8975	75	-1.5
243	17.7625	76.1575	75	-1.5
244	17.0775	74.2875	75	-1.5
245	16.5575	75.60125	75	-1.5
246	16.0625	74.75375	116.582338163552	-2.74747014490656
247	15.87	72.79625	156.34732861516	-3.9404198584548
248	20.315	63.93375	192.557050458495	-5.02671151375484
249	24.0775	42.87	223.628965095479	-5.95886895286437
250	26.19	35.43875	248.205080756888	-6.69615242270663
251	26.6925	29.52125	265.211303259031	-7.20633909777092
252	29.355	27.165	273.904379073655	-7.46713137220964
253	30.0175	26.41625	273.904379073655	-7.46713137220964
254	30.51	25.7375	265.211303259031	-7.20633909777092
255	31.7325	24.86875	248.205080756888	-6.69615242270663
256	32.085	23.55875	223.628965095479	-5.95886895286437
257	30.405	24.225	192.557050458495	-5.02671151375484
258	28.1	27.515	156.34732861516	-3.9404198584548
259	25.01	32.9425	116.582338163552	-2.74747014490656
260	22.88	38.18	75.0000000000001	-1.5
261	20.445	45.92625	75	-1.5
262	18.8725	55.64875	75	-1.5
263	17.49	61.77125	75	-1.5
264	16.4475	63.6725	75	-1.5
265	15.63	64.1875	75	-1.5
266	15.035	64.405	75	-1.5
267	14.5275	64.35125	75	-1.5
268	13.955	64.06	75	-1.5
269	13.3575	64.51	75	-1.5
270	12.8925	64.70625	116.582338163552	-2.74747014490656
271	13.19	67.6125	156.34732861516	-3.9404198584548
272	15.4975	73.065	192.557050458495	-5.02671151375484
273	19.9175	69.035	223.628965095479	-5.95886895286437
274	24.1	49.35625	248.205080756888	-6.69615242270663
275	26.605	38.94875	265.211303259031	-7.20633909777092
276	27.9675	34.4525	273.904379073655	-7.46713137220964
277	26.355	36.9	273.904379073655	-7.46713137220964
278	26.78	36.51375	265.211303259031	-7.20633909777092
279	23.295	43.99375	248.205080756888	-6.69615242270663
280	23.1475	47.41625	223.628965095479	-5.95886895286437
281	24.26	42.21875	192.557050458495	-5.02671151375484
282	23.8425	42.4425	156.34732861516	-3.9404198584548
283	22.495	46.52375	116.582338163552	-2.74747014490656
284	21.7725	49.49375	75.0000000000001	-1.5
285	20.73	52.32	75	-1.5
286	18.775	62.63875	75	-1.5
287	17.385	66.52	75	-1.5
288	16.2925	67.4175	75	-1.5
289	15.535	67.92	75	-1.5
290	15.0325	68.23625	75	-1.5
291	14.5075	67.57625	75	-1.5
292	14.115	69.7325	75	-1.5
293	14.4025	74.095	75	-1.5
294	14.565	75.11125	116.582338163552	-2.74747014490656
295	14.8325	76.64	156.34732861516	-3.9404198584548
